Team,School,City,Conference
Bellarmine Knights,Bellarmine University,Louisville,ASUN,[a],,,,,,
Eastern Kentucky Colonels,Eastern Kentucky University,Richmond,ASUN,FCS[b],,,,,,
Kentucky Wildcats,University of Kentucky,Lexington,SEC,FBS,,,,,[c],
Louisville Cardinals,University of Louisville,Louisville,ACC,FBS,,,,,,
Morehead State Eagles,Morehead State University,Morehead,OVC,FCS[d],,,,,,
Murray State Racers,Murray State University,Murray,MVC,FCS[e],,,,,,
Northern Kentucky Norse,Northern Kentucky University,Highland Heights,Horizon,,,,,,,
Western Kentucky Hilltoppers and Lady Toppers,Western Kentucky University,Bowling Green,C-USA,FBS,,,,,,
Kentucky State Thorobreds and Thorobrettes,Kentucky State University,Frankfort,SIAC,,,,,,,
Kentucky Wesleyan Panthers,Kentucky Wesleyan College,Owensboro,G-MAC,,,,,,,
Thomas More Saints[a],Thomas More University,Crestview Hills,G-MAC,,,,,,,
Asbury Eagles,Asbury University,Wilmore,CCS,,,,,,,
Berea Mountaineers,Berea College,Berea,HCAC,,,,,,,
Centre Colonels,Centre College,Danville,SAA,,,,,,,
Spalding Golden Eagles,Spalding University,Louisville,SLIAC,,,,,,,
Transylvania Pioneers,Transylvania University,Lexington,HCAC,,,,,,,
Alice Lloyd Eagles,Alice Lloyd College,Pippa Passes,River States,,,,,,,
Brescia Bearcats,Brescia University,Owensboro,River States,,,,,,,
Campbellsville Tigers,Campbellsville University,Campbellsville,Mid-South,[a],,,,,,
Cumberlands Patriots,University of the Cumberlands,Williamsburg,Mid-South,,,,,,,
Georgetown Tigers,Georgetown College,Georgetown,Mid-South,,,,,,,
Kentucky Christian Knights,Kentucky Christian University,Grayson,Appalachian,,,,,[b],,
Lindsey Wilson Blue Raiders,Lindsey Wilson College,Columbia,Mid-South,,,,,,,
Midway Eagles,Midway University,Midway,River States,[c],,,,,,
Pikeville Bears,University of Pikeville,Pikeville,Mid-South,,,,,,,
Union Bulldogs and Lady Bulldogs,Union Commonwealth University,Barbourville,Appalachian,,,,,,,
Boyce Bulldogs,Boyce College,Louisville,Mid-East
Campbellsville Pioneers,Campbellsville University,Campbellsville,Mid-East
Simmons College Falcons,Simmons College of Kentucky,Louisville,Mid-East
